case_id,cse_id,alert_id,created_at,investigation_started_at,closed_at,priority,investigation_summary,evidence_count,closure_reason,root_cause,remediation_status,reviewer_id
CSE-02-CASE-0103,CSE-02,CSE-02-ALT-0103,2026-08-29T10:20:00Z,2026-08-29T10:22:00Z,2026-08-29T11:18:00Z,Medium,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0104,CSE-02,CSE-02-ALT-0104,2026-08-22T02:35:00Z,2026-08-22T02:42:00Z,2026-08-22T03:56:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0105,CSE-02,CSE-02-ALT-0105,2026-08-18T03:27:00Z,2026-08-18T03:36:00Z,2026-08-18T04:21:00Z,Critical,"Investigated suspicious Malware activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0106,CSE-02,CSE-02-ALT-0106,2026-08-15T15:26:00Z,2026-08-15T15:33:00Z,2026-08-15T17:04:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0107,CSE-02,CSE-02-ALT-0107,2026-08-14T18:42:00Z,2026-08-14T18:45:00Z,2026-08-14T20:09:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0108,CSE-02,CSE-02-ALT-0108,2026-08-03T10:05:00Z,2026-08-03T10:11:00Z,2026-08-03T10:57:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0109,CSE-02,CSE-02-ALT-0109,2026-08-19T01:21:00Z,2026-08-19T01:28:00Z,2026-08-19T02:16:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0110,CSE-02,CSE-02-ALT-0110,2026-08-02T17:38:00Z,2026-08-02T17:40:00Z,2026-08-02T19:03:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0111,CSE-02,CSE-02-ALT-0111,2026-08-22T23:14:00Z,2026-08-22T23:20:00Z,2026-08-23T00:07:00Z,High,"Investigated suspicious Denial of Service activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0112,CSE-02,CSE-02-ALT-0112,2026-08-25T16:36:00Z,2026-08-25T16:45:00Z,2026-08-25T18:10:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0113,CSE-02,CSE-02-ALT-0113,2026-08-23T06:17:00Z,2026-08-23T06:22:00Z,2026-08-23T07:20:00Z,Medium,"Investigated suspicious Malware activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0114,CSE-02,CSE-02-ALT-0114,2026-08-12T08:11:00Z,2026-08-12T08:21:00Z,2026-08-12T09:09:00Z,High,"Investigated suspicious Denial of Service activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0115,CSE-02,CSE-02-ALT-0115,2026-08-06T07:40:00Z,2026-08-06T07:49:00Z,2026-08-06T08:31:00Z,Critical,"Investigated suspicious Malware activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0116,CSE-02,CSE-02-ALT-0116,2026-08-15T18:10:00Z,2026-08-15T18:16:00Z,2026-08-15T19:29:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0117,CSE-02,CSE-02-ALT-0117,2026-08-05T13:48:00Z,2026-08-05T13:50:00Z,2026-08-05T14:34:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0118,CSE-02,CSE-02-ALT-0118,2026-08-14T23:38:00Z,2026-08-14T23:43:00Z,2026-08-15T01:11:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0119,CSE-02,CSE-02-ALT-0119,2026-08-14T11:18:00Z,2026-08-14T11:26:00Z,2026-08-14T13:13:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0120,CSE-02,CSE-02-ALT-0120,2026-08-08T20:38:00Z,2026-08-08T20:42:00Z,2026-08-08T21:18:00Z,Critical,"Investigated suspicious Malware activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0121,CSE-02,CSE-02-ALT-0121,2026-08-25T16:18:00Z,2026-08-25T16:19:00Z,2026-08-25T17:13:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0122,CSE-02,CSE-02-ALT-0122,2026-08-05T20:34:00Z,2026-08-05T20:43:00Z,2026-08-05T21:43:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0123,CSE-02,CSE-02-ALT-0123,2026-08-14T07:02:00Z,2026-08-14T07:10:00Z,2026-08-14T07:44:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0124,CSE-02,CSE-02-ALT-0124,2026-08-15T02:25:00Z,2026-08-15T02:30:00Z,2026-08-15T03:58:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0125,CSE-02,CSE-02-ALT-0125,2026-08-11T13:51:00Z,2026-08-11T13:57:00Z,2026-08-11T15:29:00Z,Critical,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0126,CSE-02,CSE-02-ALT-0126,2026-08-08T21:37:00Z,2026-08-08T21:39:00Z,2026-08-08T23:24:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0127,CSE-02,CSE-02-ALT-0127,2026-08-11T15:21:00Z,2026-08-11T15:23:00Z,2026-08-11T16:22:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0128,CSE-02,CSE-02-ALT-0128,2026-08-17T14:57:00Z,2026-08-17T15:03:00Z,2026-08-17T16:21:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0129,CSE-02,CSE-02-ALT-0129,2026-08-04T12:16:00Z,2026-08-04T12:26:00Z,2026-08-04T13:18:00Z,High,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0130,CSE-02,CSE-02-ALT-0130,2026-08-26T04:31:00Z,2026-08-26T04:41:00Z,2026-08-26T06:23:00Z,Critical,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0131,CSE-02,CSE-02-ALT-0131,2026-08-11T12:28:00Z,2026-08-11T12:36:00Z,2026-08-11T14:08:00Z,Medium,"Investigated suspicious Malware activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0132,CSE-02,CSE-02-ALT-0132,2026-08-19T09:22:00Z,2026-08-19T09:27:00Z,2026-08-19T10:11:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0133,CSE-02,CSE-02-ALT-0133,2026-08-02T19:53:00Z,2026-08-02T19:55:00Z,2026-08-02T20:42:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0134,CSE-02,CSE-02-ALT-0134,2026-08-20T01:50:00Z,2026-08-20T01:58:00Z,2026-08-20T02:35:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0135,CSE-02,CSE-02-ALT-0135,2026-08-20T23:32:00Z,2026-08-20T23:40:00Z,2026-08-21T00:19:00Z,Critical,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0136,CSE-02,CSE-02-ALT-0136,2026-08-04T00:41:00Z,2026-08-04T00:45:00Z,2026-08-04T01:26:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0137,CSE-02,CSE-02-ALT-0137,2026-08-18T00:39:00Z,2026-08-18T00:45:00Z,2026-08-18T02:05:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0138,CSE-02,CSE-02-ALT-0138,2026-08-25T18:43:00Z,2026-08-25T18:49:00Z,2026-08-25T19:29:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0139,CSE-02,CSE-02-ALT-0139,2026-08-19T05:24:00Z,2026-08-19T05:34:00Z,2026-08-19T06:36:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0140,CSE-02,CSE-02-ALT-0140,2026-08-20T05:09:00Z,2026-08-20T05:16:00Z,2026-08-20T06:28:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0141,CSE-02,CSE-02-ALT-0141,2026-08-18T20:41:00Z,2026-08-18T20:44:00Z,2026-08-18T22:03:00Z,High,"Investigated suspicious Denial of Service activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0142,CSE-02,CSE-02-ALT-0142,2026-08-22T21:32:00Z,2026-08-22T21:38:00Z,2026-08-22T22:14:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0143,CSE-02,CSE-02-ALT-0143,2026-08-11T23:12:00Z,2026-08-11T23:15:00Z,2026-08-12T00:09:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0144,CSE-02,CSE-02-ALT-0144,2026-08-18T01:53:00Z,2026-08-18T01:54:00Z,2026-08-18T03:40:00Z,High,"Investigated suspicious Reconnaissance activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0145,CSE-02,CSE-02-ALT-0145,2026-08-06T03:24:00Z,2026-08-06T03:27:00Z,2026-08-06T04:24:00Z,Critical,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0146,CSE-02,CSE-02-ALT-0146,2026-08-15T09:26:00Z,2026-08-15T09:34:00Z,2026-08-15T10:36:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0147,CSE-02,CSE-02-ALT-0147,2026-08-26T22:14:00Z,2026-08-26T22:19:00Z,2026-08-26T23:24:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0148,CSE-02,CSE-02-ALT-0148,2026-08-23T02:28:00Z,2026-08-23T02:35:00Z,2026-08-23T03:44:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0149,CSE-02,CSE-02-ALT-0149,2026-08-27T14:51:00Z,2026-08-27T14:56:00Z,2026-08-27T15:48:00Z,Medium,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0150,CSE-02,CSE-02-ALT-0150,2026-08-18T11:45:00Z,2026-08-18T11:47:00Z,2026-08-18T13:31:00Z,Critical,"Investigated suspicious Denial of Service activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-03-CASE-0001,CSE-03,CSE-03-ALT-0001,2026-08-08T20:05:00Z,2026-08-08T20:06:00Z,2026-08-08T21:13:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-03-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-002,Completed,LEAD-REV-01
CSE-03-CASE-0002,CSE-03,CSE-03-ALT-0002,2026-08-21T18:50:00Z,2026-08-21T18:51:00Z,2026-08-21T19:47:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-03-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-003,Completed,LEAD-REV-01
CSE-03-CASE-0003,CSE-03,CSE-03-ALT-0003,2026-08-27T12:48:00Z,2026-08-27T12:56:00Z,2026-08-27T14:28:00Z,High,"Investigated suspicious Reconnaissance activity on CSE-03-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-004,Completed,LEAD-REV-01
CSE-03-CASE-0004,CSE-03,CSE-03-ALT-0004,2026-08-01T16:13:00Z,2026-08-01T16:22:00Z,2026-08-01T17:12:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-03-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-005,Completed,LEAD-REV-01
CSE-03-CASE-0005,CSE-03,CSE-03-ALT-0005,2026-08-25T17:15:00Z,2026-08-25T17:16:00Z,2026-08-25T18:10:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-03-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-001,Completed,LEAD-REV-01
CSE-03-CASE-0006,CSE-03,CSE-03-ALT-0006,2026-08-27T03:29:00Z,2026-08-27T03:37:00Z,2026-08-27T04:23:00Z,High,"Investigated suspicious Malware activity on CSE-03-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-002,Completed,LEAD-REV-01
CSE-03-CASE-0007,CSE-03,CSE-03-ALT-0007,2026-08-18T02:15:00Z,2026-08-18T02:20:00Z,2026-08-18T03:13:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-03-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-003,Completed,LEAD-REV-01
CSE-03-CASE-0008,CSE-03,CSE-03-ALT-0008,2026-08-12T15:36:00Z,2026-08-12T15:38:00Z,2026-08-12T16:39:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-03-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-004,Completed,LEAD-REV-01
CSE-03-CASE-0009,CSE-03,CSE-03-ALT-0009,2026-08-18T01:32:00Z,2026-08-18T01:41:00Z,2026-08-18T03:16:00Z,High,"Investigated suspicious Denial of Service activity on CSE-03-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-005,Completed,LEAD-REV-01
CSE-03-CASE-0010,CSE-03,CSE-03-ALT-0010,2026-08-03T04:24:00Z,2026-08-03T04:25:00Z,2026-08-03T05:36:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-03-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-001,Completed,LEAD-REV-01
CSE-03-CASE-0011,CSE-03,CSE-03-ALT-0011,2026-08-09T07:42:00Z,2026-08-09T07:52:00Z,2026-08-09T08:35:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-03-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-002,Completed,LEAD-REV-01
CSE-03-CASE-0012,CSE-03,CSE-03-ALT-0012,2026-08-02T19:34:00Z,2026-08-02T19:42:00Z,2026-08-02T20:36:00Z,High,"Investigated suspicious Lateral Movement activity on CSE-03-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-003,Completed,LEAD-REV-01
CSE-03-CASE-0013,CSE-03,CSE-03-ALT-0013,2026-08-06T12:04:00Z,2026-08-06T12:05:00Z,2026-08-06T13:42:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-03-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-004,Completed,LEAD-REV-01
CSE-03-CASE-0014,CSE-03,CSE-03-ALT-0014,2026-08-26T14:56:00Z,2026-08-26T15:01:00Z,2026-08-26T16:16:00Z,Medium,"Investigated suspicious Malware activity on CSE-03-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-005,Completed,LEAD-REV-01
CSE-03-CASE-0015,CSE-03,CSE-03-ALT-0015,2026-08-16T16:02:00Z,2026-08-16T16:07:00Z,2026-08-16T17:06:00Z,Critical,"Investigated suspicious Denial of Service activity on CSE-03-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-001,Completed,LEAD-REV-01
CSE-03-CASE-0016,CSE-03,CSE-03-ALT-0016,2026-08-11T16:07:00Z,2026-08-11T16:14:00Z,2026-08-11T17:34:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-03-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-002,Completed,LEAD-REV-01
CSE-03-CASE-0017,CSE-03,CSE-03-ALT-0017,2026-08-11T13:31:00Z,2026-08-11T13:37:00Z,2026-08-11T15:14:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-03-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-003,Completed,LEAD-REV-01
CSE-03-CASE-0018,CSE-03,CSE-03-ALT-0018,2026-08-24T21:05:00Z,2026-08-24T21:08:00Z,2026-08-24T23:02:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-03-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-004,Completed,LEAD-REV-01
CSE-03-CASE-0019,CSE-03,CSE-03-ALT-0019,2026-08-04T10:20:00Z,2026-08-04T10:25:00Z,2026-08-04T11:37:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-03-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-03-AST-005,Completed,LEAD-REV-01
